corpus_id,model_order,n_blocks
high_100__nonadjacent__sim24,2-gram,10
high_100__nonadjacent__sim24,3-gram,10
high_100__nonadjacent__sim25,2-gram,10
high_100__nonadjacent__sim25,3-gram,10
high_100__nonadjacent__sim26,2-gram,10
high_100__nonadjacent__sim26,3-gram,10
high_100__nonadjacent__sim27,2-gram,10
high_100__nonadjacent__sim27,3-gram,10
high_100__nonadjacent__sim28,2-gram,10
high_100__nonadjacent__sim28,3-gram,10
high_100__nonadjacent__sim29,2-gram,10
high_100__nonadjacent__sim29,3-gram,10
high_100__nonadjacent__sim30,2-gram,10
high_100__nonadjacent__sim30,3-gram,10
low_60__adjacent__sim01,2-gram,10
low_60__adjacent__sim01,3-gram,10
low_60__adjacent__sim02,2-gram,10
low_60__adjacent__sim02,3-gram,10
low_60__adjacent__sim03,2-gram,10
low_60__adjacent__sim03,3-gram,10
low_60__adjacent__sim04,2-gram,10
low_60__adjacent__sim04,3-gram,10
low_60__adjacent__sim05,2-gram,10
low_60__adjacent__sim05,3-gram,10
low_60__adjacent__sim06,2-gram,10
low_60__adjacent__sim06,3-gram,10
low_60__adjacent__sim07,2-gram,10
low_60__adjacent__sim07,3-gram,10
low_60__adjacent__sim08,2-gram,10
low_60__adjacent__sim08,3-gram,10
low_60__adjacent__sim09,2-gram,10
low_60__adjacent__sim09,3-gram,10
low_60__adjacent__sim10,2-gram,10
low_60__adjacent__sim10,3-gram,10
low_60__adjacent__sim11,2-gram,10
low_60__adjacent__sim11,3-gram,10
low_60__adjacent__sim12,2-gram,10
low_60__adjacent__sim12,3-gram,10
low_60__adjacent__sim13,2-gram,10
low_60__adjacent__sim13,3-gram,10
low_60__adjacent__sim14,2-gram,10
low_60__adjacent__sim14,3-gram,10
low_60__adjacent__sim15,2-gram,10
low_60__adjacent__sim15,3-gram,10
low_60__adjacent__sim16,2-gram,10
low_60__adjacent__sim16,3-gram,10
low_60__adjacent__sim17,2-gram,10
low_60__adjacent__sim17,3-gram,10
low_60__adjacent__sim18,2-gram,10
low_60__adjacent__sim18,3-gram,10
low_60__adjacent__sim19,2-gram,10
low_60__adjacent__sim19,3-gram,10
low_60__adjacent__sim20,2-gram,10
low_60__adjacent__sim20,3-gram,10
low_60__adjacent__sim21,2-gram,10
low_60__adjacent__sim21,3-gram,10
low_60__adjacent__sim22,2-gram,10
low_60__adjacent__sim22,3-gram,10
low_60__adjacent__sim23,2-gram,10
low_60__adjacent__sim23,3-gram,10
low_60__adjacent__sim24,2-gram,10
low_60__adjacent__sim24,3-gram,10
low_60__adjacent__sim25,2-gram,10
low_60__adjacent__sim25,3-gram,10
low_60__adjacent__sim26,2-gram,10
low_60__adjacent__sim26,3-gram,10
low_60__adjacent__sim27,2-gram,10
low_60__adjacent__sim27,3-gram,10
low_60__adjacent__sim28,2-gram,10
low_60__adjacent__sim28,3-gram,10
low_60__adjacent__sim29,2-gram,10
low_60__adjacent__sim29,3-gram,10
low_60__adjacent__sim30,2-gram,10
low_60__adjacent__sim30,3-gram,10
low_60__nonadjacent__sim01,2-gram,10
low_60__nonadjacent__sim01,3-gram,10
low_60__nonadjacent__sim02,2-gram,10
low_60__nonadjacent__sim02,3-gram,10
low_60__nonadjacent__sim03,2-gram,10
low_60__nonadjacent__sim03,3-gram,10
low_60__nonadjacent__sim04,2-gram,10
low_60__nonadjacent__sim04,3-gram,10
low_60__nonadjacent__sim05,2-gram,10
low_60__nonadjacent__sim05,3-gram,10
low_60__nonadjacent__sim06,2-gram,10
low_60__nonadjacent__sim06,3-gram,10
low_60__nonadjacent__sim07,2-gram,10
low_60__nonadjacent__sim07,3-gram,10
low_60__nonadjacent__sim08,2-gram,10
low_60__nonadjacent__sim08,3-gram,10
low_60__nonadjacent__sim09,2-gram,10
low_60__nonadjacent__sim09,3-gram,10
low_60__nonadjacent__sim10,2-gram,10
low_60__nonadjacent__sim10,3-gram,10
low_60__nonadjacent__sim11,2-gram,10
low_60__nonadjacent__sim11,3-gram,10
low_60__nonadjacent__sim12,2-gram,10
low_60__nonadjacent__sim12,3-gram,10
low_60__nonadjacent__sim13,2-gram,10
low_60__nonadjacent__sim13,3-gram,10
low_60__nonadjacent__sim14,2-gram,10
low_60__nonadjacent__sim14,3-gram,10
low_60__nonadjacent__sim15,2-gram,10
low_60__nonadjacent__sim15,3-gram,10
low_60__nonadjacent__sim16,2-gram,10
low_60__nonadjacent__sim16,3-gram,10
low_60__nonadjacent__sim17,2-gram,10
low_60__nonadjacent__sim17,3-gram,10
low_60__nonadjacent__sim18,2-gram,10
low_60__nonadjacent__sim18,3-gram,10
low_60__nonadjacent__sim19,2-gram,10
low_60__nonadjacent__sim19,3-gram,10
low_60__nonadjacent__sim20,2-gram,10
low_60__nonadjacent__sim20,3-gram,10
low_60__nonadjacent__sim21,2-gram,10
low_60__nonadjacent__sim21,3-gram,10
low_60__nonadjacent__sim22,2-gram,10
low_60__nonadjacent__sim22,3-gram,10
low_60__nonadjacent__sim23,2-gram,10
low_60__nonadjacent__sim23,3-gram,10
low_60__nonadjacent__sim24,2-gram,10
low_60__nonadjacent__sim24,3-gram,10
low_60__nonadjacent__sim25,2-gram,10
low_60__nonadjacent__sim25,3-gram,10
low_60__nonadjacent__sim26,2-gram,10
low_60__nonadjacent__sim26,3-gram,10
low_60__nonadjacent__sim27,2-gram,10
low_60__nonadjacent__sim27,3-gram,10
low_60__nonadjacent__sim28,2-gram,10
low_60__nonadjacent__sim28,3-gram,10
low_60__nonadjacent__sim29,2-gram,10
low_60__nonadjacent__sim29,3-gram,10
low_60__nonadjacent__sim30,2-gram,10
low_60__nonadjacent__sim30,3-gram,10
mid_80__adjacent__sim01,2-gram,10
mid_80__adjacent__sim01,3-gram,10
mid_80__adjacent__sim02,2-gram,10
mid_80__adjacent__sim02,3-gram,10
mid_80__adjacent__sim03,2-gram,10
mid_80__adjacent__sim03,3-gram,10
mid_80__adjacent__sim04,2-gram,10
mid_80__adjacent__sim04,3-gram,10
mid_80__adjacent__sim05,2-gram,10
mid_80__adjacent__sim05,3-gram,10
mid_80__adjacent__sim06,2-gram,10
mid_80__adjacent__sim06,3-gram,10
mid_80__adjacent__sim07,2-gram,10
mid_80__adjacent__sim07,3-gram,10
mid_80__adjacent__sim08,2-gram,10
mid_80__adjacent__sim08,3-gram,10
mid_80__adjacent__sim09,2-gram,10
mid_80__adjacent__sim09,3-gram,10
mid_80__adjacent__sim10,2-gram,10
mid_80__adjacent__sim10,3-gram,10
mid_80__adjacent__sim11,2-gram,10
mid_80__adjacent__sim11,3-gram,10
mid_80__adjacent__sim12,2-gram,10
mid_80__adjacent__sim12,3-gram,10
mid_80__adjacent__sim13,2-gram,10
mid_80__adjacent__sim13,3-gram,10
mid_80__adjacent__sim14,2-gram,10
mid_80__adjacent__sim14,3-gram,10
mid_80__adjacent__sim15,2-gram,10
mid_80__adjacent__sim15,3-gram,10
mid_80__adjacent__sim16,2-gram,10
mid_80__adjacent__sim16,3-gram,10
mid_80__adjacent__sim17,2-gram,10
mid_80__adjacent__sim17,3-gram,10
mid_80__adjacent__sim18,2-gram,10
mid_80__adjacent__sim18,3-gram,10
mid_80__adjacent__sim19,2-gram,10
mid_80__adjacent__sim19,3-gram,10
mid_80__adjacent__sim20,2-gram,10
mid_80__adjacent__sim20,3-gram,10
mid_80__adjacent__sim21,2-gram,10
mid_80__adjacent__sim21,3-gram,10
mid_80__adjacent__sim22,2-gram,10
mid_80__adjacent__sim22,3-gram,10
mid_80__adjacent__sim23,2-gram,10
mid_80__adjacent__sim23,3-gram,10
mid_80__adjacent__sim24,2-gram,10
mid_80__adjacent__sim24,3-gram,10
mid_80__adjacent__sim25,2-gram,10
mid_80__adjacent__sim25,3-gram,10
mid_80__adjacent__sim26,2-gram,10
mid_80__adjacent__sim26,3-gram,10
mid_80__adjacent__sim27,2-gram,10
mid_80__adjacent__sim27,3-gram,10
mid_80__adjacent__sim28,2-gram,10
mid_80__adjacent__sim28,3-gram,10
mid_80__adjacent__sim29,2-gram,10
mid_80__adjacent__sim29,3-gram,10
mid_80__adjacent__sim30,2-gram,10
mid_80__adjacent__sim30,3-gram,10
mid_80__nonadjacent__sim01,2-gram,10
mid_80__nonadjacent__sim01,3-gram,10
mid_80__nonadjacent__sim02,2-gram,10
mid_80__nonadjacent__sim02,3-gram,10
mid_80__nonadjacent__sim03,2-gram,10
mid_80__nonadjacent__sim03,3-gram,10
mid_80__nonadjacent__sim04,2-gram,10
mid_80__nonadjacent__sim04,3-gram,10
mid_80__nonadjacent__sim05,2-gram,10
mid_80__nonadjacent__sim05,3-gram,10
mid_80__nonadjacent__sim06,2-gram,10
mid_80__nonadjacent__sim06,3-gram,10
mid_80__nonadjacent__sim07,2-gram,10
mid_80__nonadjacent__sim07,3-gram,10
mid_80__nonadjacent__sim08,2-gram,10
mid_80__nonadjacent__sim08,3-gram,10
mid_80__nonadjacent__sim09,2-gram,10
mid_80__nonadjacent__sim09,3-gram,10
mid_80__nonadjacent__sim10,2-gram,10
mid_80__nonadjacent__sim10,3-gram,10
mid_80__nonadjacent__sim11,2-gram,10
mid_80__nonadjacent__sim11,3-gram,10
mid_80__nonadjacent__sim12,2-gram,10
mid_80__nonadjacent__sim12,3-gram,10
mid_80__nonadjacent__sim13,2-gram,10
mid_80__nonadjacent__sim13,3-gram,10
mid_80__nonadjacent__sim14,2-gram,10
mid_80__nonadjacent__sim14,3-gram,10
mid_80__nonadjacent__sim15,2-gram,10
mid_80__nonadjacent__sim15,3-gram,10
mid_80__nonadjacent__sim16,2-gram,10
mid_80__nonadjacent__sim16,3-gram,10
mid_80__nonadjacent__sim17,2-gram,10
mid_80__nonadjacent__sim17,3-gram,10
mid_80__nonadjacent__sim18,2-gram,10
mid_80__nonadjacent__sim18,3-gram,10
mid_80__nonadjacent__sim19,2-gram,10
mid_80__nonadjacent__sim19,3-gram,10
mid_80__nonadjacent__sim20,2-gram,10
mid_80__nonadjacent__sim20,3-gram,10
mid_80__nonadjacent__sim21,2-gram,10
mid_80__nonadjacent__sim21,3-gram,10
mid_80__nonadjacent__sim22,2-gram,10
mid_80__nonadjacent__sim22,3-gram,10
mid_80__nonadjacent__sim23,2-gram,10
mid_80__nonadjacent__sim23,3-gram,10
mid_80__nonadjacent__sim24,2-gram,10
mid_80__nonadjacent__sim24,3-gram,10
mid_80__nonadjacent__sim25,2-gram,10
mid_80__nonadjacent__sim25,3-gram,10
mid_80__nonadjacent__sim26,2-gram,10
mid_80__nonadjacent__sim26,3-gram,10
mid_80__nonadjacent__sim27,2-gram,10
mid_80__nonadjacent__sim27,3-gram,10
mid_80__nonadjacent__sim28,2-gram,10
mid_80__nonadjacent__sim28,3-gram,10
mid_80__nonadjacent__sim29,2-gram,10
mid_80__nonadjacent__sim29,3-gram,10
mid_80__nonadjacent__sim30,2-gram,10
mid_80__nonadjacent__sim30,3-gram,10
